name,weight,height,id,bred_for,breed_group,life_span,temperament,origin,reference_image_id,image,country_code,description,history
Coton de Tulear,"{'imperial': '9 - 15', 'metric': '4 - 7'}","{'imperial': '9 - 11', 'metric': '23 - 28'}",89,"Accompanying ladies on long sea voyages, ratters onboard ship.",Non-Sporting,13 - 16 years,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",,SyviZlqNm,"{'id': 'SyviZlqNm', 'width': 2464, 'height': 1638, 'url': 'https://cdn2.thedogapi.com/images/SyviZlqNm.jpg'}",,,
Dalmatian,"{'imperial': '50 - 55', 'metric': '23 - 25'}","{'imperial': '19 - 23', 'metric': '48 - 58'}",92,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,Non-Sporting,10 - 13 years,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",,SkJ3blcN7,"{'id': 'SkJ3blcN7', 'width': 1200, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg'}",,,
Doberman Pinscher,"{'imperial': '66 - 88', 'metric': '30 - 40'}","{'imperial': '24 - 28', 'metric': '61 - 71'}",94,Guardian,Working,10 years,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",,HyL3bl94Q,"{'id': 'HyL3bl94Q', 'width': 1140, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg'}",,,
Dogo Argentino,"{'imperial': '80 - 100', 'metric': '36 - 45'}","{'imperial': '23.5 - 27', 'metric': '60 - 69'}",95,Big-game hunting,Working,10 - 12 years,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",,S1nhWx94Q,"{'id': 'S1nhWx94Q', 'width': 650, 'height': 467, 'url': 'https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg'}",,,
Dutch Shepherd,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '22 - 24.5', 'metric': '56 - 62'}",98,"Farms, watchdog, guard duty",,15 years,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",,BkE6Wg5E7,"{'id': 'BkE6Wg5E7', 'width': 856, 'height': 511, 'url': 'https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg'}",,,
English Setter,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '24 - 25', 'metric': '61 - 64'}",101,"Bird setting, retrieving",Sporting,12 years,"Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",,By4A-eqVX,"{'id': 'By4A-eqVX', 'width': 1024, 'height': 683, 'url': 'https://cdn2.thedogapi.com/images/By4A-eqVX.jpg'}",,,
English Shepherd,"{'imperial': '44 - 66', 'metric': '20 - 30'}","{'imperial': '18 - 23', 'metric': '46 - 58'}",102,"Herding & guarding livestock, farm watch dog",Working,10 - 13 years,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",,H1QyMe5EQ,"{'id': 'H1QyMe5EQ', 'width': 1920, 'height': 1280, 'url': 'https://cdn2.thedogapi.com/images/H1QyMe5EQ.jpg'}",,,
English Springer Spaniel,"{'imperial': '35 - 50', 'metric': '16 - 23'}","{'imperial': '19 - 20', 'metric': '48 - 51'}",103,"Bird flushing, retrieving",Sporting,12 - 14 years,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",,Hk0Jfe5VQ,"{'id': 'Hk0Jfe5VQ', 'width': 1440, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/Hk0Jfe5VQ.jpg'}",,,
English Toy Spaniel,"{'imperial': '8 - 14', 'metric': '4 - 6'}","{'imperial': '10', 'metric': '25'}",104,Companion of kings,Toy,10 - 12 years,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",,SkIgzxqNQ,"{'id': 'SkIgzxqNQ', 'width': 800, 'height': 696, 'url': 'https://cdn2.thedogapi.com/images/SkIgzxqNQ.jpg'}",,,
English Toy Terrier,"{'imperial': '6 - 8', 'metric': '3 - 4'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",105,Rat-baiting,,12 - 13 years,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",,SJ6eMxqEQ,"{'id': 'SJ6eMxqEQ', 'width': 645, 'height': 430, 'url': 'https://cdn2.thedogapi.com/images/SJ6eMxqEQ.jpg'}",,,
Eurasier,"{'imperial': '40 - 70', 'metric': '18 - 32'}","{'imperial': '20.5 - 23.5', 'metric': '52 - 60'}",107,Companionship,Non-Sporting,12 - 14 years,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",,S1VWGx9Nm,"{'id': 'S1VWGx9Nm', 'width': 800, 'height': 532, 'url': 'https://cdn2.thedogapi.com/images/S1VWGx9Nm.jpg'}",,,
Field Spaniel,"{'imperial': '35 - 50', 'metric': '16 - 23'}","{'imperial': '17 - 18', 'metric': '43 - 46'}",108,"Bird flushing, retrieving",Sporting,11 - 15 years,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",,SkJfGecE7,"{'id': 'SkJfGecE7', 'width': 1280, 'height': 906, 'url': 'https://cdn2.thedogapi.com/images/SkJfGecE7.jpg'}",,,
Finnish Lapphund,"{'imperial': '33 - 53', 'metric': '15 - 24'}","{'imperial': '16 - 21', 'metric': '41 - 53'}",110,Herding reindeer,Herding,12 - 15 years,"Friendly, Keen, Faithful, Calm, Courageous",,S1KMGg5Vm,"{'id': 'S1KMGg5Vm', 'width': 1066, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/S1KMGg5Vm.jpg'}",,,
Finnish Spitz,"{'imperial': '23 - 28', 'metric': '10 - 13'}","{'imperial': '15.5 - 20', 'metric': '39 - 51'}",111,"Hunting birds, small mammals",Non-Sporting,12 - 15 years,"Playful, Loyal, Independent, Intelligent, Happy, Vocal",,3PjHlQbkV,"{'id': '3PjHlQbkV', 'width': 500, 'height': 417, 'url': 'https://cdn2.thedogapi.com/images/3PjHlQbkV.jpg'}",,,
French Bulldog,"{'imperial': '28', 'metric': '13'}","{'imperial': '11 - 12', 'metric': '28 - 30'}",113,Lapdog,Non-Sporting,9 - 11 years,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright",,HyWNfxc47,"{'id': 'HyWNfxc47', 'width': 740, 'height': 430, 'url': 'https://cdn2.thedogapi.com/images/HyWNfxc47.jpg'}",,,
German Pinscher,"{'imperial': '25 - 45', 'metric': '11 - 20'}","{'imperial': '17 - 20', 'metric': '43 - 51'}",114,"Watchdog, Hunting vermin on the farm.",Working,12 - 14 years,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",,B1u4zgqE7,"{'id': 'B1u4zgqE7', 'width': 740, 'height': 480, 'url': 'https://cdn2.thedogapi.com/images/B1u4zgqE7.jpg'}",,,
German Shepherd Dog,"{'imperial': '50 - 90', 'metric': '23 - 41'}","{'imperial': '22 - 26', 'metric': '56 - 66'}",115,"Herding, Guard dog",Herding,10 - 13 years,"Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",,SJyBfg5NX,"{'id': 'SJyBfg5NX', 'width': 600, 'height': 425, 'url': 'https://cdn2.thedogapi.com/images/SJyBfg5NX.jpg'}",,,
German Shorthaired Pointer,"{'imperial': '45 - 70', 'metric': '20 - 32'}","{'imperial': '21 - 25', 'metric': '53 - 64'}",116,General hunting,Sporting,12 - 14 years,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",,SJqBMg5Nm,"{'id': 'SJqBMg5Nm', 'width': 1395, 'height': 1230, 'url': 'https://cdn2.thedogapi.com/images/SJqBMg5Nm.jpg'}",,,
Giant Schnauzer,"{'imperial': '65 - 90', 'metric': '29 - 41'}","{'imperial': '23.5 - 27.5', 'metric': '60 - 70'}",119,"Herding, guarding",Working,10 - 12 years,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",,H1NIzlcV7,"{'id': 'H1NIzlcV7', 'width': 900, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/H1NIzlcV7.jpg'}",,,
Glen of Imaal Terrier,"{'imperial': '32 - 40', 'metric': '15 - 18'}","{'imperial': '12.5 - 14', 'metric': '32 - 36'}",120,"Rid the home and farm of vermin, and hunt badger and fox",Terrier,12 - 15 years,"Spirited, Agile, Loyal, Gentle, Active, Courageous",,H1oLMe94m,"{'id': 'H1oLMe94m', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/H1oLMe94m.jpg'}",,,
Golden Retriever,"{'imperial': '55 - 75', 'metric': '25 - 34'}","{'imperial': '21.5 - 24', 'metric': '55 - 61'}",121,Retrieving,Sporting,10 - 12 years,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",,HJ7Pzg5EQ,"{'id': 'HJ7Pzg5EQ', 'width': 900, 'height': 652, 'url': 'https://cdn2.thedogapi.com/images/HJ7Pzg5EQ.jpg'}",,,
Gordon Setter,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '23 - 27', 'metric': '58 - 69'}",123,Find and point gamebirds,Sporting,10 - 12 years,"Fearless, Alert, Loyal, Confident, Gay, Eager",,SJ5vzx5NX,"{'id': 'SJ5vzx5NX', 'width': 622, 'height': 467, 'url': 'https://cdn2.thedogapi.com/images/SJ5vzx5NX.jpg'}",,,
Great Dane,"{'imperial': '110 - 190', 'metric': '50 - 86'}","{'imperial': '28 - 32', 'metric': '71 - 81'}",124,"Hunting & holding boars, Guardian",Working,7 - 10 years,"Friendly, Devoted, Reserved, Gentle, Confident, Loving",,B1Edfl9NX,"{'id': 'B1Edfl9NX', 'width': 800, 'height': 732, 'url': 'https://cdn2.thedogapi.com/images/B1Edfl9NX.jpg'}",,,
Great Pyrenees,"{'imperial': '85 - 115', 'metric': '39 - 52'}","{'imperial': '25 - 32', 'metric': '64 - 81'}",125,Sheep guardian,Working,10 - 12 years,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",,B12uzg9V7,"{'id': 'B12uzg9V7', 'width': 800, 'height': 550, 'url': 'https://cdn2.thedogapi.com/images/B12uzg9V7.png'}",,,
Greyhound,"{'imperial': '50 - 70', 'metric': '23 - 32'}","{'imperial': '27 - 30', 'metric': '69 - 76'}",127,Coursing hares,Hound,10 - 13 years,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",,ryNYMx94X,"{'id': 'ryNYMx94X', 'width': 1024, 'height': 681, 'url': 'https://cdn2.thedogapi.com/images/ryNYMx94X.jpg'}",,,
Griffon Bruxellois,"{'imperial': '12', 'metric': '5'}","{'imperial': '9 - 11', 'metric': '23 - 28'}",128,Hunt and kill vermin in stables,,10 – 15 years,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",,ryoYGec4Q,"{'id': 'ryoYGec4Q', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/ryoYGec4Q.jpg'}",,,
Harrier,"{'imperial': '40 - 60', 'metric': '18 - 27'}","{'imperial': '18 - 22', 'metric': '46 - 56'}",129,Hunting hares by trailing them,Hound,12 - 15 years,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",,B1IcfgqE7,"{'id': 'B1IcfgqE7', 'width': 1920, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/B1IcfgqE7.jpg'}",,,
Havanese,"{'imperial': '7 - 13', 'metric': '3 - 6'}","{'imperial': '8.5 - 11.5', 'metric': '22 - 29'}",130,Companionship,Toy,14 - 15 years,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",,rkXiGl9V7,"{'id': 'rkXiGl9V7', 'width': 800, 'height': 507, 'url': 'https://cdn2.thedogapi.com/images/rkXiGl9V7.jpg'}",,,
Irish Setter,"{'imperial': '35 - 70', 'metric': '16 - 32'}","{'imperial': '24 - 27', 'metric': '61 - 69'}",134,"Bird setting, retrieving",Sporting,10 - 11 years,"Affectionate, Energetic, Lively, Independent, Playful, Companionable",,S1osGeqVm,"{'id': 'S1osGeqVm', 'width': 818, 'height': 522, 'url': 'https://cdn2.thedogapi.com/images/S1osGeqVm.jpg'}",,,
Irish Terrier,"{'imperial': '25 - 27', 'metric': '11 - 12'}","{'imperial': '18', 'metric': '46'}",135,,Terrier,12 - 16 years,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",,By-hGecVX,"{'id': 'By-hGecVX', 'width': 800, 'height': 626, 'url': 'https://cdn2.thedogapi.com/images/By-hGecVX.jpg'}",,,
Irish Wolfhound,"{'imperial': '105 - 180', 'metric': '48 - 82'}","{'imperial': '30 - 35', 'metric': '76 - 89'}",137,"Coursing wolves, elk",Hound,6 - 8 years,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",,Hyd2zgcEX,"{'id': 'Hyd2zgcEX', 'width': 1000, 'height': 630, 'url': 'https://cdn2.thedogapi.com/images/Hyd2zgcEX.jpg'}",,,
Italian Greyhound,"{'imperial': '7 - 15', 'metric': '3 - 7'}","{'imperial': '13 - 15', 'metric': '33 - 38'}",138,Lapdog,Toy,12 - 15 years,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",,SJAnzg9NX,"{'id': 'SJAnzg9NX', 'width': 640, 'height': 377, 'url': 'https://cdn2.thedogapi.com/images/SJAnzg9NX.jpg'}",,,
Japanese Chin,"{'imperial': '4 - 9', 'metric': '2 - 4'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",140,Lapdog,Toy,12 - 14 years,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",,r1H6feqEm,"{'id': 'r1H6feqEm', 'width': 900, 'height': 581, 'url': 'https://cdn2.thedogapi.com/images/r1H6feqEm.jpg'}",,,
Japanese Spitz,"{'imperial': '15 - 19', 'metric': '7 - 9'}","{'imperial': '12 - 15', 'metric': '30 - 38'}",141,Companion,,10 – 16 years,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",,HksaMxqNX,"{'id': 'HksaMxqNX', 'width': 600, 'height': 351, 'url': 'https://cdn2.thedogapi.com/images/HksaMxqNX.jpg'}",,,
Keeshond,"{'imperial': '35 - 45', 'metric': '16 - 20'}","{'imperial': '17 - 18', 'metric': '43 - 46'}",142,Barge watchdog,Non-Sporting,12 - 15 years,"Agile, Obedient, Playful, Quick, Sturdy, Bright",,S1GAGg9Vm,"{'id': 'S1GAGg9Vm', 'width': 1024, 'height': 683, 'url': 'https://cdn2.thedogapi.com/images/S1GAGg9Vm.jpg'}",,,
Komondor,"{'imperial': '80 - 100', 'metric': '36 - 45'}","{'imperial': '25.5 - 27.5', 'metric': '65 - 70'}",144,Sheep guardian,Working,10 - 12 years,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",,Bko0fl547,"{'id': 'Bko0fl547', 'width': 1030, 'height': 772, 'url': 'https://cdn2.thedogapi.com/images/Bko0fl547.jpg'}",,,
Kooikerhondje,"{'imperial': '20 - 30', 'metric': '9 - 14'}","{'imperial': '14 - 16', 'metric': '36 - 41'}",145,"Luring ducks into traps - ""tolling""",Sporting,12 - 15 years,"Benevolent, Agile, Alert, Intelligent, Active, Territorial",,kOMy84GQE,"{'id': 'kOMy84GQE', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/kOMy84GQE.jpg'}",,,
Kuvasz,"{'imperial': '70 - 115', 'metric': '32 - 52'}","{'imperial': '26 - 30', 'metric': '66 - 76'}",147,"Guardian, hunting large game",Working,8 - 10 years,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",,BykZ7ecVX,"{'id': 'BykZ7ecVX', 'width': 960, 'height': 768, 'url': 'https://cdn2.thedogapi.com/images/BykZ7ecVX.jpg'}",,,
Labrador Retriever,"{'imperial': '55 - 80', 'metric': '25 - 36'}","{'imperial': '21.5 - 24.5', 'metric': '55 - 62'}",149,Water retrieving,Sporting,10 - 13 years,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",,B1uW7l5VX,"{'id': 'B1uW7l5VX', 'width': 992, 'height': 667, 'url': 'https://cdn2.thedogapi.com/images/B1uW7l5VX.jpg'}",,,
Lagotto Romagnolo,"{'imperial': '24 - 35', 'metric': '11 - 16'}","{'imperial': '16 - 19', 'metric': '41 - 48'}",151,Water retrieval dog in the marshes of Romagna,Sporting,14 - 16 years,"Keen, Loyal, Companionable, Loving, Active, Trainable",,ryzzmgqE7,"{'id': 'ryzzmgqE7', 'width': 1600, 'height': 1200, 'url': 'https://cdn2.thedogapi.com/images/ryzzmgqE7.jpg'}",,,
Lancashire Heeler,"{'imperial': '6 - 13', 'metric': '3 - 6'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",153,"Cattle herding, Ratting, Driving cattle to market.",,12 – 15 years,"Clever, Friendly, Alert, Intelligent",,S1RGml5Em,"{'id': 'S1RGml5Em', 'width': 680, 'height': 453, 'url': 'https://cdn2.thedogapi.com/images/S1RGml5Em.jpg'}",,,
Leonberger,"{'imperial': '120 - 170', 'metric': '54 - 77'}","{'imperial': '25.5 - 31.5', 'metric': '65 - 80'}",155,"Guardian, appearance.",Working,6 - 8 years,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",,ByrmQlqVm,"{'id': 'ByrmQlqVm', 'width': 1024, 'height': 694, 'url': 'https://cdn2.thedogapi.com/images/ByrmQlqVm.jpg'}",,,
Lhasa Apso,"{'imperial': '12 - 18', 'metric': '5 - 8'}","{'imperial': '10 - 11', 'metric': '25 - 28'}",156,"Guarding inside the home, companion",Non-Sporting,12 - 15 years,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",,SJp7Qe5EX,"{'id': 'SJp7Qe5EX', 'width': 680, 'height': 444, 'url': 'https://cdn2.thedogapi.com/images/SJp7Qe5EX.jpg'}",,,
Maltese,"{'imperial': '4 - 7', 'metric': '2 - 3'}","{'imperial': '8 - 10', 'metric': '20 - 25'}",161,Lapdog,Toy,15 - 18 years,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",,B1SV7gqN7,"{'id': 'B1SV7gqN7', 'width': 680, 'height': 453, 'url': 'https://cdn2.thedogapi.com/images/B1SV7gqN7.jpg'}",,,
Miniature American Shepherd,"{'imperial': '20 - 40', 'metric': '9 - 18'}","{'imperial': '13 - 18', 'metric': '33 - 46'}",165,,Herding,12 - 15 years,"Energetic, Loyal, Intelligent, Trainable",,BkHHQgcN7,"{'id': 'BkHHQgcN7', 'width': 920, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/BkHHQgcN7.jpg'}",,,
Miniature Pinscher,"{'imperial': '8 - 11', 'metric': '4 - 5'}","{'imperial': '10 - 12.5', 'metric': '25 - 32'}",167,Small vermin hunting,Toy,15 years,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",,Hy3H7g94X,"{'id': 'Hy3H7g94X', 'width': 1500, 'height': 1125, 'url': 'https://cdn2.thedogapi.com/images/Hy3H7g94X.jpg'}",,,
Miniature Schnauzer,"{'imperial': '11 - 20', 'metric': '5 - 9'}","{'imperial': '12 - 14', 'metric': '30 - 36'}",168,Ratting,Terrier,12 - 14 years,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",,SJIUQl9NX,"{'id': 'SJIUQl9NX', 'width': 800, 'height': 533, 'url': 'https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg'}",,,
Newfoundland,"{'imperial': '100 - 150', 'metric': '45 - 68'}","{'imperial': '26 - 28', 'metric': '66 - 71'}",171,"All purpose water dog, fishing aid",Working,8 - 10 years,"Sweet-Tempered, Gentle, Trainable",,Sk4DXl54m,"{'id': 'Sk4DXl54m', 'width': 1174, 'height': 986, 'url': 'https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg'}",,,
Norfolk Terrier,"{'imperial': '11 - 12', 'metric': '5 - 5'}","{'imperial': '9 - 10', 'metric': '23 - 25'}",172,"Ratting, fox bolting",Terrier,12 - 15 years,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",,B1ADQg94X,"{'id': 'B1ADQg94X', 'width': 1468, 'height': 1092, 'url': 'https://cdn2.thedogapi.com/images/B1ADQg94X.jpg'}",,,
Norwich Terrier,"{'imperial': '11 - 12', 'metric': '5 - 5'}","{'imperial': '10', 'metric': '25'}",176,"Ratting, fox bolting",Terrier,12 - 15 years,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",,BkgKXlqE7,"{'id': 'BkgKXlqE7', 'width': 1140, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg'}",,,
Nova Scotia Duck Tolling Retriever,"{'imperial': '35 - 50', 'metric': '16 - 23'}","{'imperial': '17 - 21', 'metric': '43 - 53'}",177,,Sporting,12 - 14 years,"Outgoing, Alert, Patient, Intelligent, Loving",,SyYtQe5V7,"{'id': 'SyYtQe5V7', 'width': 630, 'height': 420, 'url': 'https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg'}",,,
Old English Sheepdog,"{'imperial': '60 - 100', 'metric': '27 - 45'}","{'imperial': '21', 'metric': '53'}",178,"Driving sheep, cattle",Herding,10 - 12 years,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",,HkZ57lq4m,"{'id': 'HkZ57lq4m', 'width': 1334, 'height': 889, 'url': 'https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg'}",,,
Olde English Bulldogge,"{'imperial': '65 – 85', 'metric': 'NaN'}","{'imperial': '15 - 19', 'metric': '38 - 48'}",179,,,9 – 14 years,"Friendly, Alert, Confident, Loving, Courageous, Strong",,B1d5me547,"{'id': 'B1d5me547', 'width': 554, 'height': 546, 'url': 'https://cdn2.thedogapi.com/images/B1d5me547.jpg'}",,,
Papillon,"{'imperial': '3 - 12', 'metric': '1 - 5'}","{'imperial': '8 - 11', 'metric': '20 - 28'}",181,Lapdog,Toy,13 - 17 years,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",,SkJj7e547,"{'id': 'SkJj7e547', 'width': 960, 'height': 765, 'url': 'https://cdn2.thedogapi.com/images/SkJj7e547.jpg'}",,,
Pekingese,"{'imperial': '14', 'metric': '6'}","{'imperial': '6 - 9', 'metric': '15 - 23'}",183,Lapdog,Toy,14 - 18 years,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",,ByIiml9Nm,"{'id': 'ByIiml9Nm', 'width': 960, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg'}",,,
Pembroke Welsh Corgi,"{'imperial': '25 - 30', 'metric': '11 - 14'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",184,Driving stock to market in northern Wales,Herding,12 - 14 years,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",,rJ6iQeqEm,"{'id': 'rJ6iQeqEm', 'width': 1280, 'height': 720, 'url': 'https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg'}",,,
Perro de Presa Canario,"{'imperial': '88 - 110', 'metric': '40 - 50'}","{'imperial': '22 - 25.5', 'metric': '56 - 65'}",185,,Working,10 - 12 years,"Strong Willed, Suspicious, Gentle, Dominant, Calm",,S1V3Qeq4X,"{'id': 'S1V3Qeq4X', 'width': 600, 'height': 483, 'url': 'https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg'}",,,
Pharaoh Hound,"{'imperial': '40 - 60', 'metric': '18 - 27'}","{'imperial': '21 - 25', 'metric': '53 - 64'}",188,Hunting rabbits,Hound,12 - 14 years,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",,Byz6mgqEQ,"{'id': 'Byz6mgqEQ', 'width': 3918, 'height': 2938, 'url': 'https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg'}",,,
Plott,"{'imperial': '40 - 60', 'metric': '18 - 27'}","{'imperial': '20 - 25', 'metric': '51 - 64'}",189,Hunting big-game like Boar.,Hound,12 - 14 years,"Bold, Alert, Loyal, Intelligent",,B1i67l5VQ,"{'id': 'B1i67l5VQ', 'width': 640, 'height': 480, 'url': 'https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg'}",,,
Pomeranian,"{'imperial': '3 - 7', 'metric': '1 - 3'}","{'imperial': '8 - 12', 'metric': '20 - 30'}",193,Companion,Toy,15 years,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",,HJd0XecNX,"{'id': 'HJd0XecNX', 'width': 800, 'height': 532, 'url': 'https://cdn2.thedogapi.com/images/HJd0XecNX.jpg'}",,,
Poodle (Miniature),"{'imperial': '15 - 17', 'metric': '7 - 8'}","{'imperial': '11 - 15', 'metric': '28 - 38'}",196,,,12 – 15 years,,,Hkxk4ecVX,"{'id': 'Hkxk4ecVX', 'width': 1280, 'height': 853, 'url': 'https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg'}",,,
Poodle (Toy),"{'imperial': '6 - 9', 'metric': '3 - 4'}","{'imperial': '9 - 11', 'metric': '23 - 28'}",197,,,18 years,,,rJFJVxc4m,"{'id': 'rJFJVxc4m', 'width': 620, 'height': 403, 'url': 'https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg'}",,,
Pug,"{'imperial': '14 - 18', 'metric': '6 - 8'}","{'imperial': '10 - 12', 'metric': '25 - 30'}",201,Lapdog,Toy,12 - 14 years,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",,HyJvcl9N7,"{'id': 'HyJvcl9N7', 'width': 800, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg'}",,,
Puli,"{'imperial': '25 - 35', 'metric': '11 - 16'}","{'imperial': '16 - 17', 'metric': '41 - 43'}",204,Herding,Herding,12 - 16 Years years,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",,ryPgVl5N7,"{'id': 'ryPgVl5N7', 'width': 1199, 'height': 829, 'url': 'https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg'}",,,
Pumi,"{'imperial': '18 - 33', 'metric': '8 - 15'}","{'imperial': '15 - 18.5', 'metric': '38 - 47'}",205,,Herding,13 - 15 years,"Lively, Reserved, Intelligent, Active, Protective, Vocal",,SyRe4xcN7,"{'id': 'SyRe4xcN7', 'width': 695, 'height': 391, 'url': 'https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg'}",,,
Rat Terrier,"{'imperial': '8 - 25', 'metric': '4 - 11'}","{'imperial': '10 - 13', 'metric': '25 - 33'}",207,,Terrier,12 - 18 years,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",,HkXWNl9E7,"{'id': 'HkXWNl9E7', 'width': 825, 'height': 689, 'url': 'https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg'}",,,
Redbone Coonhound,"{'imperial': '45 - 80', 'metric': '20 - 36'}","{'imperial': '21 - 27', 'metric': '53 - 69'}",208,"Hunting raccoon, deer, bear, and cougar.",Hound,10 - 12 years,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",,HJMzEl5N7,"{'id': 'HJMzEl5N7', 'width': 1537, 'height': 1323, 'url': 'https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg'}",,,
Rhodesian Ridgeback,"{'imperial': '75 - 80', 'metric': '34 - 36'}","{'imperial': '24 - 27', 'metric': '61 - 69'}",209,"Big game hunting, guarding",Hound,10 - 12 years,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",,By9zNgqE7,"{'id': 'By9zNgqE7', 'width': 1000, 'height': 667, 'url': 'https://cdn2.thedogapi.com/images/By9zNgqE7.jpg'}",,,
